benchmark_id,q_tag,skeleton_sql,example_question,mimiciii_query_template,mimiciv_cdm_query_template,tag_items,tag_item_subtypes,value_arguments,observed_tag_item_signature_count,observed_value_count,skeleton_variant_candidate,variant_risk_level,variant_driver_tag_items,variant_reason
ehrsql_146,what are_verb the top [n_rank] frequent diagnoses that patients were diagnosed [time_filter_within] after having been diagnosed with {diagnosis_name} [time_filter_global1]?,"with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select co2.condition_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.condition_occurrence co2 on co2.person_id = idx.person_id where co2.condition_start_date > idx.index_date {time_filter_within:co2.condition_start_date,idx.index_date} group by co2.condition_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc","Since 2105, what are the top four most common diagnoses that patients were diagnosed with within 2 months after being diagnosed with asthma nos?","select d_icd_diagnoses.short_title from d_icd_diagnoses where d_icd_diagnoses.icd9_code in ( select t3.icd9_code from ( select t2.icd9_code, dense_rank() over ( order by count(*) desc ) as c1 from ( select admissions.subject_id, diagnoses_icd.charttime from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'ch obst asth w (ac) exac' ) and strftime('%y',diagnoses_icd.charttime) <= '2100' ) as t1 join ( select admissions.subject_id, diagnoses_icd.icd9_code, diagnoses_icd.charttime from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where strftime('%y',diagnoses_icd.charttime) <= '2100' ) as t2 on t1.subject_id = t2.subject_id where t1.charttime < t2.charttime and datetime(t1.charttime,'start of month') = datetime(t2.charttime,'start of month') group by t2.icd9_code ) as t3 where t3.c1 <= 4 )","with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select co2.condition_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.condition_occurrence co2 on co2.person_id = idx.person_id where co2.condition_start_date > idx.index_date {time_filter_within:co2.condition_start_date,idx.index_date} group by co2.condition_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",n_rank; time_filter_within; time_filter_global1,n_rank: five | four; time_filter_global1: abs-year-since | abs-year-until | null | rel-year-until; time_filter_within: within-month | within-n_month,diagnosis_name,5,5,YES,high,time_filter_within,"within subtype can switch between same-visit, same-month, and interval relations over two event queries"
ehrsql_139,count the number of patients who were prescribed {drug_name} [time_filter_within] after having been diagnosed with {diagnosis_name} [time_filter_global1].,"with index_event as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select count(distinct de.person_id) from index_event idx join <SCHEMA>.drug_exposure de on de.person_id = idx.person_id where de.drug_exposure_start_date > idx.index_date {drug_filter:drug_name:de.drug_concept_id} {time_filter_within:de.drug_exposure_start_date,idx.index_date}",How many patients were prescribed glipizide during the same hospital visit in this year after being diagnosed with streptococcal septicemia?,"select count( distinct t1.subject_id ) from ( select admissions.subject_id, diagnoses_icd.charttime, admissions.hadm_id from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'liver disorders nec' ) ) as t1 join ( select admissions.subject_id, prescriptions.startdate, admissions.hadm_id from prescriptions join admissions on prescriptions.hadm_id = admissions.hadm_id where prescriptions.drug = 'morphine sulfate' ) as t2 on t1.subject_id = t2.subject_id where t1.charttime < t2.startdate and t1.hadm_id = t2.hadm_id","with index_event as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select count(distinct de.person_id) from index_event idx join <SCHEMA>.drug_exposure de on de.person_id = idx.person_id where de.drug_exposure_start_date > idx.index_date {drug_filter:drug_name:de.drug_concept_id} {time_filter_within:de.drug_exposure_start_date,idx.index_date}",time_filter_within; time_filter_global1,time_filter_global1: abs-year-since | null | rel-year-last | rel-year-since | rel-year-this | rel-year-until; time_filter_within: within-hosp | within-month | within-n_month,diagnosis_name; drug_name,8,15,YES,high,time_filter_within,"within subtype can switch between same-visit, same-month, and interval relations over two event queries"
ehrsql_036,what was the name of the drug that patient {patient_id} was prescribed [time_filter_within] after having been diagnosed with {diagnosis_name} [time_filter_global1]?,"with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co join <SCHEMA>.person p on p.person_id = co.person_id where p.person_source_value = {patient_id} {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name as answer from index_condition idx join <SCHEMA>.drug_exposure de on de.person_id = idx.person_id join <SCHEMA>.concept c on c.concept_id = de.drug_concept_id where de.drug_exposure_start_date > idx.index_date {time_filter_within:de.drug_exposure_start_date,idx.index_date} {time_filter_exact1:de.drug_exposure_start_datetime}",What is the name of the drug prescribed for patient 138 within 2 days after they were diagnosed with urin tract infection nos in 11/2104?,"select t2.drug from ( select admissions.subject_id, diagnoses_icd.charttime, admissions.hadm_id from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where admissions.subject_id = 66015 and diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'hypertension nos' ) and datetime(diagnoses_icd.charttime,'start of month') = datetime(current_time,'start of month','-1 month') ) as t1 join ( select admissions.subject_id, prescriptions.drug, prescriptions.startdate, admissions.hadm_id from prescriptions join admissions on prescriptions.hadm_id = admissions.hadm_id where admissions.subject_id = 66015 and datetime(prescriptions.startdate,'start of month') = datetime(current_time,'start of month','-1 month') ) as t2 on t1.subject_id = t2.subject_id where t1.charttime < t2.startdate and t1.hadm_id = t2.hadm_id","with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co join <SCHEMA>.person p on p.person_id = co.person_id where p.person_source_value = {patient_id} {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name as answer from index_condition idx join <SCHEMA>.drug_exposure de on de.person_id = idx.person_id join <SCHEMA>.concept c on c.concept_id = de.drug_concept_id where de.drug_exposure_start_date > idx.index_date {time_filter_within:de.drug_exposure_start_date,idx.index_date} {time_filter_exact1:de.drug_exposure_start_datetime}",time_filter_within; time_filter_global1,time_filter_global1: abs-month-in | abs-month-since | mix-month-last_year | rel-month-last | rel-month-this; time_filter_within: within-hosp | within-n_day,diagnosis_name; patient_id,5,10,YES,high,time_filter_within,"within subtype can switch between same-visit, same-month, and interval relations over two event queries"
ehrsql_115,what is the [n_survival_period] survival rate of patients who were prescribed {drug_name} after having been diagnosed with {diagnosis_name}?,"with index_condition as (select distinct co.person_id, min(co.condition_start_date) as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} group by co.person_id) select 1.0 - avg(case when d.death_date <= ic.index_date + {n_survival_period_interval} then 1.0 else 0.0 end) as answer from index_condition ic left join <SCHEMA>.death d on d.person_id = ic.person_id where 1=1 and exists (select 1 from <SCHEMA>.drug_exposure de where de.person_id = ic.person_id and de.drug_exposure_start_date >= ic.index_date {drug_filter:drug_name:de.drug_concept_id})",What are the three-year survival rates for those who were prescribed ceftriaxone after being diagnosed with gastrointest hemorr nos otherwise specified?,"select sum( case when patients.dod is null then 1 when strftime('%j',patients.dod) - strftime('%j',t4.charttime) > 1 * 365 then 1 else 0 end ) * 100 / count(*) from ( select t2.subject_id, t2.charttime from ( select t1.subject_id, t1.charttime from ( select admissions.subject_id, diagnoses_icd.charttime from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'brain hem nec-coma nos' ) group by admissions.subject_id having min(diagnoses_icd.charttime) = diagnoses_icd.charttime ) as t1 where strftime('%j',current_time) - strftime('%j',t1.charttime) > 1 * 365 ) as t2 join ( select admissions.subject_id, prescriptions.startdate from prescriptions join admissions on prescriptions.hadm_id = admissions.hadm_id where prescriptions.drug = 'vitamin b complex w/c' ) as t3 on t2.subject_id = t3.subject_id where t2.charttime < t3.startdate ) as t4 join patients on t4.subject_id = patients.subject_id","with index_condition as (select distinct co.person_id, min(co.condition_start_date) as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} group by co.person_id) select 1.0 - avg(case when d.death_date <= ic.index_date + {n_survival_period_interval} then 1.0 else 0.0 end) as answer from index_condition ic left join <SCHEMA>.death d on d.person_id = ic.person_id where 1=1 and exists (select 1 from <SCHEMA>.drug_exposure de where de.person_id = ic.person_id and de.drug_exposure_start_date >= ic.index_date {drug_filter:drug_name:de.drug_concept_id})",n_survival_period,n_survival_period: five year | four year | three year,diagnosis_name; drug_name,3,20,NO,low,,
ehrsql_156,what are_verb the top [n_rank] frequently prescribed drugs that patients were prescribed [time_filter_within] after having been diagnosed with {diagnosis_name} [time_filter_global1]?,"with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select de.drug_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.drug_exposure de on de.person_id = idx.person_id where de.drug_exposure_start_date > idx.index_date {time_filter_within:de.drug_exposure_start_date,idx.index_date} group by de.drug_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc","What were the five most common prescription drugs for patients who had been diagnosed with opioid dependence-remission previously within 2 months, in 2101?","select t3.drug from ( select t2.drug, dense_rank() over ( order by count(*) desc ) as c1 from ( select admissions.subject_id, diagnoses_icd.charttime from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'hyperlipidemia nec/nos' ) and strftime('%y',diagnoses_icd.charttime) <= '2102' ) as t1 join ( select admissions.subject_id, prescriptions.drug, prescriptions.startdate from prescriptions join admissions on prescriptions.hadm_id = admissions.hadm_id where strftime('%y',prescriptions.startdate) <= '2102' ) as t2 on t1.subject_id = t2.subject_id where t1.charttime < t2.startdate and datetime(t2.startdate) between datetime(t1.charttime) and datetime(t1.charttime,'+2 month') group by t2.drug ) as t3 where t3.c1 <= 3","with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select de.drug_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.drug_exposure de on de.person_id = idx.person_id where de.drug_exposure_start_date > idx.index_date {time_filter_within:de.drug_exposure_start_date,idx.index_date} group by de.drug_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",n_rank; time_filter_within; time_filter_global1,n_rank: five | four; time_filter_global1: abs-year-in | null | rel-year-this | rel-year-until; time_filter_within: within-hosp | within-month | within-n_month,diagnosis_name,5,5,YES,high,time_filter_within,"within subtype can switch between same-visit, same-month, and interval relations over two event queries"
ehrsql_174,count the number of patients who were diagnosed with {diagnosis_name} [time_filter_within] after having received a {procedure_name} procedure [time_filter_global1].,"with index_event as (select distinct po.person_id, po.procedure_date as index_date from <SCHEMA>.procedure_occurrence po where 1=1 {procedure_filter:procedure_name:po.procedure_concept_id} {time_filter_global1:po.procedure_date}) select count(distinct co2.person_id) from index_event idx join <SCHEMA>.condition_occurrence co2 on co2.person_id = idx.person_id where co2.condition_start_date > idx.index_date {condition_filter:diagnosis_name:co2.condition_concept_id} {time_filter_within:co2.condition_start_date,idx.index_date}",,,"with index_event as (select distinct po.person_id, po.procedure_date as index_date from <SCHEMA>.procedure_occurrence po where 1=1 {procedure_filter:procedure_name:po.procedure_concept_id} {time_filter_global1:po.procedure_date}) select count(distinct co2.person_id) from index_event idx join <SCHEMA>.condition_occurrence co2 on co2.person_id = idx.person_id where co2.condition_start_date > idx.index_date {condition_filter:diagnosis_name:co2.condition_concept_id} {time_filter_within:co2.condition_start_date,idx.index_date}",NONE,NONE,NONE,0,0,YES,high,time_filter_within,"within subtype can switch between same-visit, same-month, and interval relations over two event queries"
ehrsql_134,count the number of patients who received a {procedure_name} procedure [time_filter_within] after having been diagnosed with {diagnosis_name} [time_filter_global1].,"with index_event as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select count(distinct po.person_id) from index_event idx join <SCHEMA>.procedure_occurrence po on po.person_id = idx.person_id where po.procedure_date > idx.index_date {procedure_filter:procedure_name:po.procedure_concept_id} {time_filter_within:po.procedure_date,idx.index_date}","Count the number of patients who received percu abdominal drainage within 2 months after being diagnosed with hypertension nos, on or before 2100.","select count( distinct t1.subject_id ) from ( select admissions.subject_id, diagnoses_icd.charttime from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'opioid abuse-unspec' ) and datetime(diagnoses_icd.charttime,'start of year') = datetime(current_time,'start of year','-0 year') ) as t1 join ( select admissions.subject_id, procedures_icd.charttime from procedures_icd join admissions on procedures_icd.hadm_id = admissions.hadm_id where procedures_icd.icd9_code = ( select d_icd_procedures.icd9_code from d_icd_procedures where d_icd_procedures.short_title = 'int insert dual-cham dev' ) and datetime(procedures_icd.charttime,'start of year') = datetime(current_time,'start of year','-0 year') ) as t2 on t1.subject_id = t2.subject_id where t1.charttime < t2.charttime and datetime(t1.charttime,'start of month') = datetime(t2.charttime,'start of month')","with index_event as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select count(distinct po.person_id) from index_event idx join <SCHEMA>.procedure_occurrence po on po.person_id = idx.person_id where po.procedure_date > idx.index_date {procedure_filter:procedure_name:po.procedure_concept_id} {time_filter_within:po.procedure_date,idx.index_date}",time_filter_within; time_filter_global1,time_filter_global1: abs-year-in | abs-year-since | abs-year-until | rel-year-since | rel-year-this | rel-year-until; time_filter_within: within-hosp | within-month | within-n_month,diagnosis_name; procedure_name,8,19,YES,high,time_filter_within,"within subtype can switch between same-visit, same-month, and interval relations over two event queries"
ehrsql_145,what are_verb the top [n_rank] frequent diagnoses that patients were diagnosed [time_filter_within] after having received a {procedure_name} procedure [time_filter_global1]?,"with index_condition as (select distinct po.person_id, po.procedure_date as index_date from <SCHEMA>.procedure_occurrence po where 1=1 {procedure_filter:procedure_name:po.procedure_concept_id} {time_filter_global1:po.procedure_date}) select c.concept_name from (select co2.condition_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.condition_occurrence co2 on co2.person_id = idx.person_id where co2.condition_start_date > idx.index_date {time_filter_within:co2.condition_start_date,idx.index_date} group by co2.condition_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",What are the three most commonly given diagnoses for patients who received venous cath nec previously until 4 years ago?,"select d_icd_diagnoses.short_title from d_icd_diagnoses where d_icd_diagnoses.icd9_code in ( select t3.icd9_code from ( select t2.icd9_code, dense_rank() over ( order by count(*) desc ) as c1 from ( select admissions.subject_id, procedures_icd.charttime, admissions.hadm_id from procedures_icd join admissions on procedures_icd.hadm_id = admissions.hadm_id where procedures_icd.icd9_code = ( select d_icd_procedures.icd9_code from d_icd_procedures where d_icd_procedures.short_title = 'exc/dest hrt lesion open' ) and strftime('%y',procedures_icd.charttime) >= '2104' ) as t1 join ( select admissions.subject_id, diagnoses_icd.icd9_code, diagnoses_icd.charttime, admissions.hadm_id from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where strftime('%y',diagnoses_icd.charttime) >= '2104' ) as t2 on t1.subject_id = t2.subject_id where t1.charttime < t2.charttime and t1.hadm_id = t2.hadm_id group by t2.icd9_code ) as t3 where t3.c1 <= 3 )","with index_condition as (select distinct po.person_id, po.procedure_date as index_date from <SCHEMA>.procedure_occurrence po where 1=1 {procedure_filter:procedure_name:po.procedure_concept_id} {time_filter_global1:po.procedure_date}) select c.concept_name from (select co2.condition_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.condition_occurrence co2 on co2.person_id = idx.person_id where co2.condition_start_date > idx.index_date {time_filter_within:co2.condition_start_date,idx.index_date} group by co2.condition_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",n_rank; time_filter_within; time_filter_global1,n_rank: five | four | three; time_filter_global1: abs-year-in | abs-year-until | rel-year-last | rel-year-this | rel-year-until; time_filter_within: within-month | within-n_month,procedure_name,5,5,YES,high,time_filter_within,"within subtype can switch between same-visit, same-month, and interval relations over two event queries"
ehrsql_150,what are_verb the top [n_rank] frequent procedures that patients received [time_filter_within] after having been diagnosed with {diagnosis_name} [time_filter_global1]?,"with index_event as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select po2.procedure_concept_id as concept_id, count(*) as n from index_event idx join <SCHEMA>.procedure_occurrence po2 on po2.person_id = idx.person_id where po2.procedure_date > idx.index_date {time_filter_within:po2.procedure_date,idx.index_date} group by po2.procedure_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",What are the four most common procedures for patients who were previously diagnosed with NB acidosis NEC in the same hospital visit until 4 years ago?,"select d_icd_procedures.short_title from d_icd_procedures where d_icd_procedures.icd9_code in ( select t3.icd9_code from ( select t2.icd9_code, dense_rank() over ( order by count(*) desc ) as c1 from ( select admissions.subject_id, diagnoses_icd.charttime from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'malig neo bladder nos' ) and datetime(diagnoses_icd.charttime) >= datetime(current_time,'-5 year') ) as t1 join ( select admissions.subject_id, procedures_icd.icd9_code, procedures_icd.charttime from procedures_icd join admissions on procedures_icd.hadm_id = admissions.hadm_id where datetime(procedures_icd.charttime) >= datetime(current_time,'-5 year') ) as t2 on t1.subject_id = t2.subject_id where t1.charttime < t2.charttime and datetime(t2.charttime) between datetime(t1.charttime) and datetime(t1.charttime,'+2 month') group by t2.icd9_code ) as t3 where t3.c1 <= 4 )","with index_event as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select po2.procedure_concept_id as concept_id, count(*) as n from index_event idx join <SCHEMA>.procedure_occurrence po2 on po2.person_id = idx.person_id where po2.procedure_date > idx.index_date {time_filter_within:po2.procedure_date,idx.index_date} group by po2.procedure_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",n_rank; time_filter_within; time_filter_global1,n_rank: five | four; time_filter_global1: null | rel-year-last | rel-year-until; time_filter_within: within-hosp | within-month | within-n_month,diagnosis_name,4,5,YES,high,time_filter_within,"within subtype can switch between same-visit, same-month, and interval relations over two event queries"
ehrsql_161,what are_verb the top [n_rank] frequent lab tests that patients had [time_filter_within] after having been diagnosed with {diagnosis_name} [time_filter_global1]?,"with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select m.measurement_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.measurement m on m.person_id = idx.person_id where m.measurement_date > idx.index_date {time_filter_within:m.measurement_date,idx.index_date} group by m.measurement_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",What are the four most common lab tests ordered for patients who were previously diagnosed with hepatic encephalopathy within the past 2 months last year?,"select d_labitems.label from d_labitems where d_labitems.itemid in ( select t3.itemid from ( select t2.itemid, dense_rank() over ( order by count(*) desc ) as c1 from ( select admissions.subject_id, diagnoses_icd.charttime, admissions.hadm_id from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'hypovolemia' ) and datetime(diagnoses_icd.charttime) >= datetime(current_time,'-2 year') ) as t1 join ( select admissions.subject_id, labevents.itemid, labevents.charttime, admissions.hadm_id from labevents join admissions on labevents.hadm_id = admissions.hadm_id where datetime(labevents.charttime) >= datetime(current_time,'-2 year') ) as t2 on t1.subject_id = t2.subject_id where t1.charttime < t2.charttime and t1.hadm_id = t2.hadm_id group by t2.itemid ) as t3 where t3.c1 <= 3 )","with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select m.measurement_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.measurement m on m.person_id = idx.person_id where m.measurement_date > idx.index_date {time_filter_within:m.measurement_date,idx.index_date} group by m.measurement_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",n_rank; time_filter_within; time_filter_global1,n_rank: five | four | three; time_filter_global1: abs-year-until | null | rel-year-last | rel-year-since | rel-year-this; time_filter_within: within-hosp | within-month | within-n_month,diagnosis_name,5,5,YES,high,time_filter_within,"within subtype can switch between same-visit, same-month, and interval relations over two event queries"
ehrsql_164,what are_verb the top [n_rank] frequent specimens that patients were tested [time_filter_within] after having been diagnosed with {diagnosis_name} [time_filter_global1]?,"with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select s.specimen_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.specimen s on s.person_id = idx.person_id where s.specimen_date > idx.index_date {time_filter_within:s.specimen_date,idx.index_date} group by s.specimen_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",What are the five most commonly ordered specimen tests for patients with mycobacterial dis nec who were previously diagnosed during the same hospital visit?,"select t3.spec_type_desc from ( select t2.spec_type_desc, dense_rank() over ( order by count(*) desc ) as c1 from ( select admissions.subject_id, diagnoses_icd.charttime, admissions.hadm_id from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'poison-medicinal agt nos' ) ) as t1 join ( select admissions.subject_id, microbiologyevents.spec_type_desc, microbiologyevents.charttime, admissions.hadm_id from microbiologyevents join admissions on microbiologyevents.hadm_id = admissions.hadm_id ) as t2 on t1.subject_id = t2.subject_id where t1.charttime < t2.charttime and t1.hadm_id = t2.hadm_id group by t2.spec_type_desc ) as t3 where t3.c1 <= 3","with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select s.specimen_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.specimen s on s.person_id = idx.person_id where s.specimen_date > idx.index_date {time_filter_within:s.specimen_date,idx.index_date} group by s.specimen_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",n_rank; time_filter_within; time_filter_global1,n_rank: five | four; time_filter_global1: abs-year-since | abs-year-until | null | rel-year-last; time_filter_within: within-hosp | within-month | within-n_month,diagnosis_name,5,5,YES,high,time_filter_within,"within subtype can switch between same-visit, same-month, and interval relations over two event queries"
ehrsql_005,what is the cost of diagnosing {diagnosis_name}?,select null::text as answer where false /* unsupported_cost_empty */,What is the cost of the diagnostic injury iliac artery injury?,select distinct cost.cost from cost where cost.event_type = 'diagnoses_icd' and cost.event_id in ( select diagnoses_icd.row_id from diagnoses_icd where diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'open wound site nos' ) ),select null::text as answer where false /* unsupported_cost_empty */,NONE,NONE,diagnosis_name,1,7,YES,unsupported,cdm_support_policy,unsupported_cost_empty
ehrsql_120,what is_verb the [agg_function] total hospital cost that involves a diagnosis named {diagnosis_name} [time_filter_global1]?,select null::text as answer where false /* unsupported_cost_empty */,Can you tell me the maximum hospital cost when there is retention urine nos since 1 year ago?,select min(t1.c1) from ( select sum(cost.cost) as c1 from cost where cost.hadm_id in ( select diagnoses_icd.hadm_id from diagnoses_icd where diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'lung contusion-open' ) ) group by cost.hadm_id ) as t1,select null::text as answer where false /* unsupported_cost_empty */,agg_function; time_filter_global1,agg_function: average | maximum | minimum; time_filter_global1: abs-year-in | null | rel-year-since | rel-year-this,diagnosis_name,4,4,YES,unsupported,cdm_support_policy,unsupported_cost_empty
ehrsql_001,what is the intake method of {drug_name}?,"select distinct coalesce(rc.concept_name, de.route_source_value, de.sig) as answer from <SCHEMA>.drug_exposure de left join <SCHEMA>.concept rc on rc.concept_id = de.route_concept_id where 1=1 {drug_filter:drug_name:de.drug_concept_id}",What is the method of fluconazole intake?,select distinct prescriptions.route from prescriptions where prescriptions.drug = 'clobetasol propionate 0.05% ointment',"select distinct coalesce(rc.concept_name, de.route_source_value, de.sig) as answer from <SCHEMA>.drug_exposure de left join <SCHEMA>.concept rc on rc.concept_id = de.route_concept_id where 1=1 {drug_filter:drug_name:de.drug_concept_id}",NONE,NONE,drug_name,1,6,NO,low,,
ehrsql_137,count the number of {drug_name} prescription cases [time_filter_global1].,select count(*) from <SCHEMA>.drug_exposure de where 1=1 {drug_filter:drug_name:de.drug_concept_id} {time_filter_global1:de.drug_exposure_start_date},How many prescriptions for thiamine hcl were issued until 1 year ago?,"select count(*) from prescriptions where prescriptions.drug = 'ceftazidime' and strftime('%y',prescriptions.startdate) >= '2105'",select count(*) from <SCHEMA>.drug_exposure de where 1=1 {drug_filter:drug_name:de.drug_concept_id} {time_filter_global1:de.drug_exposure_start_date},time_filter_global1,time_filter_global1: abs-year-in | null | rel-year-last | rel-year-since | rel-year-until,drug_name,5,5,NO,low,,
